01:08:27 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:09:12 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:10:57 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:26:32 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:54:19 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:58:37 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
02:04:44 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
02:06:25 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:07:09 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:10:01 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:11:43 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:51:20 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:53:45 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:53:45 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:54:35 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
03:55:46 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
04:01:27 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
04:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
04:11:12 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
04:39:20 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
05:38:51 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:03:35 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:04:39 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:12:44 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:13:56 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:14:36 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:22:41 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:25:16 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
06:36:57 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:08:09 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:11:11 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:48:48 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:49:28 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:50:08 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:51:00 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:51:09 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
07:51:53 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:38:24 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:38:28 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:39:15 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:39:18 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:40:49 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
20:41:00 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
21:34:43 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
21:40:04 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
21:57:21 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
21:57:30 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
21:59:01 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
22:01:34 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
22:50:58 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
22:50:59 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
22:52:02 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:01:17 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:02:17 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:03:41 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:19:05 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:20:23 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:40:59 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:44:47 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:55:08 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:55:08 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:55:47 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
23:58:50 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
