00:00:02 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:05:10 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:15:57 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:16:32 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:18:51 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
00:24:20 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:20:11 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:20:11 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:22:20 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:27:48 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:50:55 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:50:57 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:52:24 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:52:25 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:53:42 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:53:43 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.1.215, GameServerCode: 0)
02:55:16 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
02:57:35 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
03:05:25 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
