01:42:02 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
01:43:12 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:10:41 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:22:29 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:28:01 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:36:50 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
00:39:16 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
01:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
01:12:14 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
01:45:12 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
01:50:11 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
02:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
02:11:12 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
02:39:46 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
02:45:06 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
03:10:00 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
03:10:40 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
03:11:04 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
03:30:11 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
04:10:03 [AccountInfo] Account disconnected by clear (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
04:11:45 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
05:03:33 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.1.215, GameServerCode: 0)
